adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
החליל 5,9.12.2020,67,20149,3.0,1,1998,9,12,2020,1349983.0
התזמורת 6,27.11.2020,68,26617,3.0,6,1997,27,11,2020,1809956.0
התזמורת 4,18.11.2020,68,25735,3.0,7,1999,18,11,2020,1749980.0
החליל 8,12.11.2020,50,35700,2.0,1,2000,12,11,2020,1785000.0
הכינור 7,12.11.2020,95,21368,4.0,2,1997,12,11,2020,2029960.0
האורגן 7,5.11.2020,84,25902,4.0,2,2002,5,11,2020,2175768.0
התוף 7,4.11.2020,44,35000,2.5,2,2010,4,11,2020,1540000.0
החליל 24,3.11.2020,50,46000,4.0,1,2000,3,11,2020,2300000.0
התזמורת 42,1.11.2020,97,21237,4.0,6,2000,1,11,2020,2059989.0
הגיתית 9,18.10.2020,92,23043,4.0,3,2000,18,10,2020,2119956.0
התזמורת 14,18.10.2020,155,18064,5.0,6,1996,18,10,2020,2799920.0
הפסנתר 10,9.10.2020,100,26500,4.0,7,1998,9,10,2020,2650000.0
האורגן 3,25.9.2020,91,27472,4.0,6,1998,25,9,2020,2499952.0
התזמורת 14,24.9.2020,96,22656,4.5,1,1998,24,9,2020,2174976.0
החליל 10,8.9.2020,66,25000,3.0,2,1995,8,9,2020,1650000.0
העוגב 4,23.8.2020,103,20873,4.0,1,1998,23,8,2020,2149919.0
התזמורת 58,23.8.2020,117,20341,5.0,1,1998,23,8,2020,2379897.0
הגיתית 9,13.8.2020,102,26568,5.0,0,1999,13,8,2020,2709936.0
התזמורת 40,12.8.2020,72,27777,3.0,2,1990,12,8,2020,1999944.0
התזמורת 22,12.8.2020,98,20918,4.5,1,1998,12,8,2020,2049964.0
התזמורת 10,27.7.2020,83,25060,4.0,9,1997,27,7,2020,2079980.0
התוף 7,20.7.2020,44,35909,2.5,3,2005,20,7,2020,1579996.0
החליל 22,8.7.2020,65,25076,3.0,1,1997,8,7,2020,1629940.0
התזמורת 4,25.6.2020,68,26323,3.0,6,1997,25,6,2020,1789964.0
התזמורת 8,25.6.2020,69,26231,3.0,4,1996,25,6,2020,1809939.0
התזמורת 40,22.6.2020,91,25824,4.5,6,1997,22,6,2020,2349984.0
הפסנתר 22,14.6.2020,70,25142,3.0,3,2001,14,6,2020,1759940.0
התזמורת 14,11.6.2020,96,17947,4.5,3,1998,11,6,2020,1722912.0
הגיתית 8,10.6.2020,92,12826,4.0,5,2002,10,6,2020,1179992.0
המפוחית 9,7.6.2020,87,22758,3.0,4,1994,7,6,2020,1979946.0
הפסנתר 5,4.6.2020,119,21008,4.5,6,1997,4,6,2020,2499952.0
הגיתית 3,4.6.2020,67,26492,3.0,1,1997,4,6,2020,1774964.0
הגיתית 4,27.5.2020,92,21250,4.0,2,1987,27,5,2020,1955000.0
התזמורת 32,26.5.2020,92,23913,4.0,7,1996,26,5,2020,2199996.0
החליל 16,19.5.2020,72,25625,3.0,0,1996,19,5,2020,1845000.0
התזמורת 2,11.5.2020,69,26086,3.0,8,2001,11,5,2020,1799934.0
החליל 30,11.5.2020,88,21363,4.0,1,1997,11,5,2020,1879944.0
הכינור 3,30.4.2020,66,26212,3.0,2,1998,30,4,2020,1729992.0
הפסנתר 3,1.4.2020,99,24747,5.0,0,2005,1,4,2020,2449953.0
העוגב 8,29.3.2020,93,22903,4.0,3,1998,29,3,2020,2129979.0
התזמורת 32,20.3.2020,73,24657,3.5,1,2005,20,3,2020,1799961.0
התזמורת 34,20.3.2020,123,23495,5.0,12,1998,20,3,2020,2889885.0
המפוחית 10,19.3.2020,78,22051,3.0,1,1996,19,3,2020,1719978.0
הגיתית 2,12.3.2020,67,26641,3.0,5,1998,12,3,2020,1784947.0
התזמורת 16,5.3.2020,109,19266,5.0,1,1997,5,3,2020,2099994.0
הגיתית 12,3.3.2020,92,21195,4.0,2,2000,3,3,2020,1949940.0
הגיתית 5,27.2.2020,85,22705,4.0,4,1998,27,2,2020,1929925.0
האורגן 4,25.2.2020,84,23809,4.0,2,1996,25,2,2020,1999956.0
המפוחית 4,24.2.2020,82,23414,3.5,3,1998,24,2,2020,1919948.0
האורגן 11,24.2.2020,98,20918,4.0,1,1999,24,2,2020,2049964.0
האורגן 5,23.2.2020,94,22872,4.0,1,1996,23,2,2020,2149968.0
האורגן 3,17.2.2020,83,22228,4.0,2,1996,17,2,2020,1844924.0
העוגב 7,12.2.2020,96,19791,4.0,1,1998,12,2,2020,1899936.0
התזמורת 34,11.2.2020,124,23225,6.0,1,1997,11,2,2020,2879900.0
התזמורת 48,7.2.2020,71,19718,4.0,1,1997,7,2,2020,1399978.0
הקלרנית 11,30.1.2020,101,21485,4.0,3,1998,30,1,2020,2169985.0
הגיתית 10,30.1.2020,92,23260,4.0,5,1997,30,1,2020,2139920.0
המפוחית 3,10.1.2020,104,19230,4.0,2,2000,10,1,2020,1999920.0
התזמורת 42,31.12.2019,97,21752,4.0,6,1996,31,12,2019,2109944.0
האורגן 11,31.12.2019,98,17346,4.0,4,2002,31,12,2019,1699908.0
התוף 9,17.12.2019,44,31818,2.5,1,2000,17,12,2019,1399992.0
התזמורת 16,15.12.2019,101,23861,5.0,2,1999,15,12,2019,2409961.0
הכינור 8,11.12.2019,92,21956,4.0,2,1999,11,12,2019,2019952.0
התזמורת 44,10.12.2019,96,22031,4.0,3,1999,10,12,2019,2114976.0
התזמורת 14,2.12.2019,102,23333,5.0,2,2001,2,12,2019,2379966.0
התזמורת 56,28.11.2019,65,27538,3.0,5,1995,28,11,2019,1789970.0
האורגן 9,26.11.2019,67,24776,3.0,3,1996,26,11,2019,1659992.0
התזמורת 42,18.11.2019,96,22187,4.0,5,1998,18,11,2019,2129952.0
התוף 9,17.11.2019,44,35681,2.5,10,2005,17,11,2019,1569964.0
הקלרנית 4,17.11.2019,96,20833,4.0,3,1998,17,11,2019,1999968.0
התזמורת 50,17.11.2019,96,20833,4.0,4,1999,17,11,2019,1999968.0
הקלרנית 8,15.11.2019,63,26190,3.0,2,1997,15,11,2019,1649970.0
העוגב 7,14.11.2019,96,21145,4.0,4,1995,14,11,2019,2029920.0
האורגן 11,13.11.2019,67,24328,3.0,4,1996,13,11,2019,1629976.0
החליל 30,11.11.2019,87,20459,4.0,1,1997,11,11,2019,1779933.0
התוף 5,8.11.2019,42,36904,2.5,7,2000,8,11,2019,1549968.0
הפסנתר 1,22.10.2019,119,22058,5.0,7,1998,22,10,2019,2624902.0
המפוחית 2,10.10.2019,83,21686,3.5,5,1997,10,10,2019,1799938.0
התזמורת 34,25.9.2019,73,24657,3.5,1,1999,25,9,2019,1799961.0
המפוחית 2,24.9.2019,68,23897,3.0,0,1997,24,9,2019,1624996.0
התזמורת 54,2.9.2019,100,16000,4.0,1,1999,2,9,2019,1600000.0
התוף 9,1.9.2019,44,33636,2.5,6,2000,1,9,2019,1479984.0
החליל 4,28.8.2019,70,26428,3.0,0,1996,28,8,2019,1849960.0
העוגב 12,28.8.2019,103,18640,4.0,5,2001,28,8,2019,1919920.0
הפסנתר 6,22.8.2019,98,21938,4.0,4,1998,22,8,2019,2149924.0
