adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
עמיחי בנחלה,19.11.2020,140,19285,5.0,5,2012,19,11,2020,2699900.0
כהן אלי 14,12.11.2020,47,51489,2.0,1,1950,12,11,2020,2419983.0
צרפתי יוניק ראשון לציון,11.11.2020,144,24479,5.0,7,2014,11,11,2020,3524976.0
חלומות נחלת ראשון לציון,5.11.2020,137,27233,5.0,9,2018,5,11,2020,3730921.0
סעדיה ומשה בשארי 6,5.11.2020,122,23360,5.0,6,2010,5,11,2020,2849920.0
הרצל 8,5.11.2020,103,23300,4.0,9,2011,5,11,2020,2399900.0
בוטיק נחלת יהודה,26.10.2020,124,20564,5.0,4,2012,26,10,2020,2549936.0
נחלת יהודה 7,21.10.2020,126,15079,5.0,5,1995,21,10,2020,1899954.0
אודור בוטיק - ראשון לציון,19.10.2020,118,21779,4.0,99,2019,19,10,2020,2569922.0
נחלת יהודה 34,6.10.2020,107,17663,4.0,5,1990,6,10,2020,1889941.0
בשארי סעדיה ויוסף 8,30.9.2020,103,22815,4.0,1,2015,30,9,2020,2349945.0
נחלת יהודה 23,30.9.2020,105,21619,4.0,10,2009,30,9,2020,2269995.0
קלוד נחמיאס ברקפות מתחם א ראשון לציון,24.9.2020,132,23106,5.0,0,2019,24,9,2020,3049992.0
נחלת יהודה 21,18.9.2020,130,9576,5.0,4,2005,18,9,2020,1244880.0
פוזננסקי 2 ראשון לציון,17.9.2020,128,18750,5.0,8,2020,17,9,2020,2400000.0
נחלת יהודה 9,16.9.2020,108,20740,5.0,3,1997,16,9,2020,2239920.0
משולם לוינשטיין בנחלת יהודה מתחם א ראשון לציון,10.9.2020,134,7485,5.5,8,2020,10,9,2020,1002990.0
נחלת יהודה 9,8.9.2020,80,23950,3.5,17,2019,8,9,2020,1916000.0
THE NEW RISHON LEZION,6.9.2020,84,16666,4.0,6,2022,6,9,2020,1399944.0
עמיחי בנחלה,3.9.2020,121,19008,4.0,4,2012,3,9,2020,2299968.0
נחלת יהודה 9,2.9.2020,69,20546,3.0,12,2019,2,9,2020,1417674.0
נחלת יהודה 9,2.9.2020,69,19960,3.0,12,2019,2,9,2020,1377240.0
נחלת יהודה 9,2.9.2020,69,20362,3.0,11,2019,2,9,2020,1404978.0
עומר דבורה 4,30.8.2020,73,26520,3.0,5,2015,30,8,2020,1935960.0
דוניץ - קרית האמנים,24.8.2020,126,18769,5.0,7,2022,24,8,2020,2364894.0
נחלת יהודה ,19.8.2020,137,13400,6.0,2,2020,19,8,2020,1835800.0
פרויקט Y ראשון לציון,17.8.2020,87,25862,4.0,2,2011,17,8,2020,2249994.0
נחלת יהודה 26,13.8.2020,102,20882,4.5,1,2004,13,8,2020,2129964.0
נחלת יהודה ,13.8.2020,130,18523,5.0,17,2019,13,8,2020,2407990.0
נחלת יהודה 7,11.8.2020,96,27083,4.0,11,2003,11,8,2020,2599968.0
דרור 36 ראשון לציון,4.8.2020,67,20298,3.0,2,1960,4,8,2020,1359966.0
נחלת יהודה 8,2.8.2020,76,23421,3.5,3,2008,2,8,2020,1779996.0
חלומות נחלת ראשון לציון,2.8.2020,122,25508,5.0,10,2018,2,8,2020,3111976.0
נחלת יהודה 6,2.8.2020,75,19333,3.5,2,1960,2,8,2020,1449975.0
חלומות נחלת ראשון לציון,22.7.2020,115,24817,5.0,5,2018,22,7,2020,2853955.0
פרויקט Y9 - Y,21.7.2020,122,22541,5.0,6,2017,21,7,2020,2750002.0
