adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
סנש חנה 6,6.12.2020,56,24107,3.0,3,1970,6,12,2020,1349992.0
אנילביץ 18,1.12.2020,64,21562,3.0,3,1970,1,12,2020,1379968.0
אריאב חיים 4,1.12.2020,36,33055,2.0,2,1960,1,12,2020,1189980.0
צייטלין 14,1.12.2020,47,34042,4.0,3,1970,1,12,2020,1599974.0
שניאור זלמן 14,27.11.2020,79,21898,4.0,4,1980,27,11,2020,1729942.0
אריאב חיים 15,20.11.2020,20,85000,4.0,2,1960,20,11,2020,1700000.0
תדהר דוד 19,16.11.2020,48,29166,4.0,1,1960,16,11,2020,1399968.0
"עגנון ש""י 13",12.11.2020,42,38095,4.0,4,1970,12,11,2020,1599990.0
הרב מינץ 15,8.11.2020,35,32857,2.0,3,1950,8,11,2020,1149995.0
משורר השואה 10,1.11.2020,56,23214,3.0,2,1970,1,11,2020,1299984.0
אריאב חיים 5,30.10.2020,39,33974,3.0,2,1960,30,10,2020,1324986.0
אריאב חיים 5,29.10.2020,39,33974,3.0,1,1960,29,10,2020,1324986.0
תורה ועבודה 17,26.10.2020,39,23076,2.0,4,1970,26,10,2020,899964.0
ארנון משה 3 ראשון לציון,15.10.2020,99,22424,4.0,1,2021,15,10,2020,2219976.0
אנילביץ 26,13.10.2020,64,20312,3.0,4,1970,13,10,2020,1299968.0
שניאור זלמן 28,8.10.2020,47,26914,3.0,2,1970,8,10,2020,1264958.0
ארנון משה 3 ראשון לציון,5.10.2020,111,18558,5.0,5,2021,5,10,2020,2059938.0
קורצ'ק יאנוש 12,29.9.2020,79,21518,3.0,4,1960,29,9,2020,1699922.0
סנש חנה 8,22.9.2020,56,21785,3.0,4,1970,22,9,2020,1219960.0
סנש חנה 7,7.9.2020,35,34142,2.0,4,1950,7,9,2020,1194970.0
"עגנון ש""י 11",6.9.2020,69,19812,3.0,8,2019,6,9,2020,1367028.0
"עגנון ש""י 15",2.9.2020,79,19647,3.5,17,2019,2,9,2020,1552113.0
שניאור זלמן 44,30.8.2020,40,25000,2.0,1,1970,30,8,2020,1000000.0
סנש חנה 32,27.8.2020,67,15217,3.0,3,1960,27,8,2020,1019539.0
"עגנון ש""י 3",19.8.2020,44,27613,3.0,1,1950,19,8,2020,1214972.0
אנילביץ 39,13.8.2020,55,24545,2.5,4,1970,13,8,2020,1349975.0
שמואל הנביא 5 ראשון לציון,10.8.2020,60,21666,3.0,3,1970,10,8,2020,1299960.0
סנש חנה 13,4.8.2020,80,18750,4.0,0,1970,4,8,2020,1500000.0
אריאב חיים 25,3.8.2020,46,28913,3.0,3,1960,3,8,2020,1329998.0
"עגנון ש""י 13",2.8.2020,42,37619,4.0,4,1970,2,8,2020,1579998.0
אנילביץ 25,2.8.2020,35,32857,3.0,2,1960,2,8,2020,1149995.0
הרב מינץ 12,20.7.2020,54,25648,3.0,2,1960,20,7,2020,1384992.0
ארנון משה 3 ראשון לציון,15.7.2020,110,18500,5.0,5,2021,15,7,2020,2035000.0
אנילביץ 25,15.7.2020,35,36285,4.0,3,1960,15,7,2020,1269975.0
משורר השואה 9,9.7.2020,47,26382,3.0,2,1975,9,7,2020,1239954.0
פוזננסקי 2 ראשון לציון,7.7.2020,118,20338,5.0,10,2020,7,7,2020,2399884.0
גולינקין 5,6.7.2020,47,26808,3.0,2,1960,6,7,2020,1259976.0
"ש""י עגנון 8",2.7.2020,40,29250,3.0,2,1970,2,7,2020,1170000.0
אריאב חיים 10,1.7.2020,40,35500,4.0,4,1970,1,7,2020,1420000.0
סנש חנה 7,1.7.2020,35,36000,2.0,1,1960,1,7,2020,1260000.0
אריאב חיים 8,30.6.2020,51,25294,3.0,2,1960,30,6,2020,1289994.0
אנילביץ 5,28.6.2020,47,23617,3.0,3,1960,28,6,2020,1109999.0
כהן יעקב 36,23.6.2020,38,27631,3.0,2,1960,23,6,2020,1049978.0
