adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
"הרשב""א 17",7.12.2020,65,26000,3.0,2,1998,7,12,2020,1690000.0
גור 16,6.12.2020,97,22577,4.0,3,1998,6,12,2020,2189969.0
נסיה 9,3.12.2020,41,37804,2.0,2,2005,3,12,2020,1549964.0
בן סרוק 8,30.11.2020,66,24772,3.0,3,1997,30,11,2020,1634952.0
הרב אונטרמן 4 ראשון לציון,17.11.2020,102,18627,5.0,6,2012,17,11,2020,1899954.0
"רמב""ם 43 ראשון לציון",16.11.2020,68,23750,3.0,6,1970,16,11,2020,1615000.0
גור 9,2.11.2020,67,26044,3.0,5,1996,2,11,2020,1744948.0
מלכי השקעות ברקפות מתחם א ראשון לציון,21.10.2020,158,22911,5.0,8,2019,21,10,2020,3619938.0
גדולי ישראל 11,13.10.2020,65,26153,3.0,6,2000,13,10,2020,1699945.0
"ריב""ל 12",7.10.2020,100,24000,4.5,10,1997,7,10,2020,2400000.0
מורשת ישראל 9,6.10.2020,65,22307,3.0,1,1998,6,10,2020,1449955.0
אלקבץ 5,1.9.2020,94,23936,4.0,6,1988,1,9,2020,2249984.0
מורשת ישראל 12,30.8.2020,65,27076,3.0,5,1995,30,8,2020,1759940.0
בן סרוק 10,26.8.2020,108,23750,5.0,6,1997,26,8,2020,2565000.0
אונטרמן 6,25.8.2020,97,22164,4.0,3,1993,25,8,2020,2149908.0
גור 17,13.8.2020,102,24754,5.0,3,2008,13,8,2020,2524908.0
נסיה 4,9.8.2020,121,20495,5.0,6,1999,9,8,2020,2479895.0
נחלת יהודה 73,3.8.2020,140,25535,5.0,2,2000,3,8,2020,3574900.0
אלתרמן 22,2.8.2020,104,27644,5.0,1,1998,2,8,2020,2874976.0
"ריב""ל 8",2.8.2020,94,21276,3.5,5,1995,2,8,2020,1999944.0
בן סרוק 14,21.7.2020,83,23795,4.0,2,2000,21,7,2020,1974985.0
"הרשב""א 15",16.7.2020,108,25370,5.0,9,1998,16,7,2020,2739960.0
אבן גבירול 20,16.7.2020,115,27652,5.0,0,2000,16,7,2020,3179980.0
"הרשב""א 16",14.7.2020,100,21700,4.0,7,1997,14,7,2020,2170000.0
"הרשב""א 6",8.7.2020,96,22187,4.0,3,1994,8,7,2020,2129952.0
אבא קובנר 51,6.7.2020,124,12765,5.0,3,2022,6,7,2020,1582860.0
בן סרוק 8,2.7.2020,160,20750,5.5,10,1997,2,7,2020,3320000.0
אונטרמן 1,2.7.2020,65,30000,3.0,5,1998,2,7,2020,1950000.0
קלישר 1,30.6.2020,65,24769,3.0,1,1998,30,6,2020,1609985.0
הנגיד 13,29.6.2020,81,22716,4.0,3,1998,29,6,2020,1839996.0
בן סרוק 8,25.6.2020,114,20614,4.5,3,1997,25,6,2020,2349996.0
חלומות נחלת ראשון לציון,23.6.2020,115,25582,5.0,7,2018,23,6,2020,2941930.0
אלקבץ 7,22.6.2020,94,24468,4.0,10,1997,22,6,2020,2299992.0
אבא קובנר ,10.6.2020,152,11952,6.0,3,2020,10,6,2020,1816704.0
גור 14,4.6.2020,98,21224,4.0,1,1996,4,6,2020,2079952.0
בובר מרטין 90,2.6.2020,157,23821,5.0,0,2000,2,6,2020,3739897.0
אלקבץ 3,1.6.2020,65,27384,3.0,5,1995,1,6,2020,1779960.0
הרבי מלובביץ 4,31.5.2020,65,24153,3.0,2,2000,31,5,2020,1569945.0
גור 3,21.5.2020,96,20520,4.0,1,1996,21,5,2020,1969920.0
"ריב""ל 4",17.5.2020,94,18085,4.0,1,1998,17,5,2020,1699990.0
"רמב""ם 43 ראשון לציון",14.5.2020,91,20329,4.0,5,1970,14,5,2020,1849939.0
אבא קובנר ,7.5.2020,110,13562,4.0,5,2020,7,5,2020,1491820.0
